"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242","Verify creating new user","","Tue May 20 07:55:20 UTC 2025","passed","Tue May 20 07:55:21 UTC 2025","","POST tests:","POST tests:","Verify creating new user"
"","25","Verify getting list of users","","Tue May 20 07:55:21 UTC 2025","passed","Tue May 20 07:55:21 UTC 2025","","GET tests:","GET tests:","Verify getting list of users"
"","28","Verify a successful call","","Tue May 20 07:55:21 UTC 2025","passed","Tue May 20 07:55:21 UTC 2025","","GET tests:","GET tests:","Verify a successful call"
"","484","Verify deleting a user","","Tue May 20 07:55:21 UTC 2025","passed","Tue May 20 07:55:22 UTC 2025","","DELETE tests:","DELETE tests:","Verify deleting a user"
"","629","Verify creating new user","","Tue May 20 07:55:20 UTC 2025","passed","Tue May 20 07:55:20 UTC 2025","","PUT tests:","PUT tests:","Verify creating new user"
"","0","Verify uploading a file","","Tue May 20 07:55:21 UTC 2025","skipped","Tue May 20 07:55:21 UTC 2025","","POST tests:","POST tests:","Verify uploading a file"
"","288","Verify a not found call","","Tue May 20 07:55:21 UTC 2025","passed","Tue May 20 07:55:21 UTC 2025","","GET tests:","GET tests:","Verify a not found call"
"","28","Verify getting a single user","","Tue May 20 07:55:21 UTC 2025","passed","Tue May 20 07:55:21 UTC 2025","","GET tests:","GET tests:","Verify getting a single user"
