"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","327","Verify a not found call","","Wed May 21 12:56:28 GMT 2025","passed","Wed May 21 12:56:28 GMT 2025","","GET tests:","GET tests:","Verify a not found call"
"","558","Verify deleting a user","","Wed May 21 12:56:28 GMT 2025","passed","Wed May 21 12:56:29 GMT 2025","","DELETE tests:","DELETE tests:","Verify deleting a user"
"","0","Verify uploading a file","","Wed May 21 12:56:28 GMT 2025","skipped","Wed May 21 12:56:28 GMT 2025","","POST tests:","POST tests:","Verify uploading a file"
"","18","Verify getting list of users","","Wed May 21 12:56:28 GMT 2025","passed","Wed May 21 12:56:28 GMT 2025","","GET tests:","GET tests:","Verify getting list of users"
"","23","Verify a successful call","","Wed May 21 12:56:28 GMT 2025","passed","Wed May 21 12:56:28 GMT 2025","","GET tests:","GET tests:","Verify a successful call"
"","675","Verify creating new user","","Wed May 21 12:56:27 GMT 2025","passed","Wed May 21 12:56:27 GMT 2025","","PUT tests:","PUT tests:","Verify creating new user"
"","279","Verify creating new user","","Wed May 21 12:56:27 GMT 2025","passed","Wed May 21 12:56:28 GMT 2025","","POST tests:","POST tests:","Verify creating new user"
"","17","Verify getting a single user","","Wed May 21 12:56:28 GMT 2025","passed","Wed May 21 12:56:28 GMT 2025","","GET tests:","GET tests:","Verify getting a single user"
