"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify uploading a file","","Tue May 20 12:03:19 GMT 2025","skipped","Tue May 20 12:03:19 GMT 2025","","POST tests:","POST tests:","Verify uploading a file"
"","23","Verify a successful call","","Tue May 20 12:03:19 GMT 2025","passed","Tue May 20 12:03:19 GMT 2025","","GET tests:","GET tests:","Verify a successful call"
"","324","Verify a not found call","","Tue May 20 12:03:19 GMT 2025","passed","Tue May 20 12:03:19 GMT 2025","","GET tests:","GET tests:","Verify a not found call"
"","573","Verify deleting a user","","Tue May 20 12:03:19 GMT 2025","passed","Tue May 20 12:03:20 GMT 2025","","DELETE tests:","DELETE tests:","Verify deleting a user"
"","282","Verify creating new user","","Tue May 20 12:03:19 GMT 2025","passed","Tue May 20 12:03:19 GMT 2025","","POST tests:","POST tests:","Verify creating new user"
"","654","Verify creating new user","","Tue May 20 12:03:18 GMT 2025","passed","Tue May 20 12:03:19 GMT 2025","","PUT tests:","PUT tests:","Verify creating new user"
"","21","Verify getting a single user","","Tue May 20 12:03:19 GMT 2025","passed","Tue May 20 12:03:19 GMT 2025","","GET tests:","GET tests:","Verify getting a single user"
"","17","Verify getting list of users","","Tue May 20 12:03:19 GMT 2025","passed","Tue May 20 12:03:19 GMT 2025","","GET tests:","GET tests:","Verify getting list of users"
