"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify uploading a file","","Tue May 20 12:10:06 GMT 2025","skipped","Tue May 20 12:10:06 GMT 2025","","POST tests:","POST tests:","Verify uploading a file"
"","356","Verify deleting a user","","Tue May 20 12:10:07 GMT 2025","passed","Tue May 20 12:10:07 GMT 2025","","DELETE tests:","DELETE tests:","Verify deleting a user"
"","220","Verify a not found call","","Tue May 20 12:10:06 GMT 2025","passed","Tue May 20 12:10:07 GMT 2025","","GET tests:","GET tests:","Verify a not found call"
"","18","Verify a successful call","","Tue May 20 12:10:06 GMT 2025","passed","Tue May 20 12:10:06 GMT 2025","","GET tests:","GET tests:","Verify a successful call"
"","18","Verify getting list of users","","Tue May 20 12:10:07 GMT 2025","passed","Tue May 20 12:10:07 GMT 2025","","GET tests:","GET tests:","Verify getting list of users"
"","188","Verify getting a single user","","Tue May 20 12:10:07 GMT 2025","passed","Tue May 20 12:10:07 GMT 2025","","GET tests:","GET tests:","Verify getting a single user"
"","175","Verify creating new user","","Tue May 20 12:10:06 GMT 2025","passed","Tue May 20 12:10:06 GMT 2025","","POST tests:","POST tests:","Verify creating new user"
"","440","Verify creating new user","","Tue May 20 12:10:06 GMT 2025","passed","Tue May 20 12:10:06 GMT 2025","","PUT tests:","PUT tests:","Verify creating new user"
