"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","609","Verify deleting a user","","Wed May 21 14:42:02 GMT 2025","passed","Wed May 21 14:42:03 GMT 2025","","DELETE tests:","DELETE tests:","Verify deleting a user"
"","732","Verify creating new user","","Wed May 21 14:42:00 GMT 2025","passed","Wed May 21 14:42:01 GMT 2025","","PUT tests:","PUT tests:","Verify creating new user"
"","355","Verify a not found call","","Wed May 21 14:42:01 GMT 2025","passed","Wed May 21 14:42:02 GMT 2025","","GET tests:","GET tests:","Verify a not found call"
"","0","Verify uploading a file","","Wed May 21 14:42:01 GMT 2025","skipped","Wed May 21 14:42:01 GMT 2025","","POST tests:","POST tests:","Verify uploading a file"
"","26","Verify getting list of users","","Wed May 21 14:42:02 GMT 2025","passed","Wed May 21 14:42:02 GMT 2025","","GET tests:","GET tests:","Verify getting list of users"
"","39","Verify getting a single user","","Wed May 21 14:42:02 GMT 2025","passed","Wed May 21 14:42:02 GMT 2025","","GET tests:","GET tests:","Verify getting a single user"
"","310","Verify creating new user","","Wed May 21 14:42:01 GMT 2025","passed","Wed May 21 14:42:01 GMT 2025","","POST tests:","POST tests:","Verify creating new user"
"","316","Verify a successful call","","Wed May 21 14:42:01 GMT 2025","passed","Wed May 21 14:42:01 GMT 2025","","GET tests:","GET tests:","Verify a successful call"
