"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","212","Verify a not found call","","Tue May 20 11:51:56 GMT 2025","passed","Tue May 20 11:51:56 GMT 2025","","GET tests:","GET tests:","Verify a not found call"
"","17","Verify getting list of users","","Tue May 20 11:51:56 GMT 2025","passed","Tue May 20 11:51:56 GMT 2025","","GET tests:","GET tests:","Verify getting list of users"
"","332","Verify deleting a user","","Tue May 20 11:51:56 GMT 2025","passed","Tue May 20 11:51:56 GMT 2025","","DELETE tests:","DELETE tests:","Verify deleting a user"
"","457","Verify creating new user","","Tue May 20 11:51:55 GMT 2025","passed","Tue May 20 11:51:56 GMT 2025","","PUT tests:","PUT tests:","Verify creating new user"
"","27","Verify getting a single user","","Tue May 20 11:51:56 GMT 2025","passed","Tue May 20 11:51:56 GMT 2025","","GET tests:","GET tests:","Verify getting a single user"
"","167","Verify creating new user","","Tue May 20 11:51:56 GMT 2025","passed","Tue May 20 11:51:56 GMT 2025","","POST tests:","POST tests:","Verify creating new user"
"","20","Verify a successful call","","Tue May 20 11:51:56 GMT 2025","passed","Tue May 20 11:51:56 GMT 2025","","GET tests:","GET tests:","Verify a successful call"
"","0","Verify uploading a file","","Tue May 20 11:51:56 GMT 2025","skipped","Tue May 20 11:51:56 GMT 2025","","POST tests:","POST tests:","Verify uploading a file"
